"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
99999,KNOWTH ME019-030009-,21,Viewpoint,,-6.49244371,53.70137438,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030010-,21,Viewpoint,,-6.49228782,53.70149824,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030011-,21,Viewpoint,,-6.49217767,53.70161369,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030012-,21,Viewpoint,,-6.49203757,53.70171978,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030013-,21,Viewpoint,,-6.49149417,53.701668,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030014-,21,Viewpoint,,-6.49128158,53.70168329,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030015-,21,Viewpoint,,-6.49094885,53.70167011,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030016-,21,Viewpoint,,-6.49094014,53.70149026,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030017-,21,Viewpoint,,-6.49071563,53.70141553,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030018-,21,Viewpoint,,-6.49058163,53.70135093,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030076-,21,Viewpoint,,-6.49044342,53.70098071,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030077-,21,Viewpoint,,-6.49174467,53.70059267,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030078-,21,Viewpoint,,-6.48986077,53.70160248,MEATH,0,5,0,5,,tg
99999,NEWGRANGE ME019-044003-,21,Viewpoint,,-6.47402905,53.69460739,MEATH,0,5,0,5,,tg
99999,NEWGRANGE ME019-044004-,21,Viewpoint,,-6.47448087,53.69467606,MEATH,0,5,0,5,,tg
99999,NEWGRANGE ME019-045----,21,Viewpoint,,-6.47553879,53.69473447,MEATH,0,5,0,5,,tg
99999,NEWGRANGE ME019-046001-,21,Viewpoint,,-6.47754586,53.69450835,MEATH,0,5,0,5,,tg
99999,NEWGRANGE ME019-046003-,21,Viewpoint,,-6.47710594,53.69452972,MEATH,0,5,0,5,,tg
99999,DOWTH ME020-012----,21,Viewpoint,,-6.44086081,53.70537848,MEATH,0,5,0,5,,tg
99999,DOWTH ME020-013----,21,Viewpoint,,-6.44075663,53.70491877,MEATH,0,5,0,5,,tg
99999,DOWTH ME020-017----,21,Viewpoint,,-6.45053577,53.70384136,MEATH,0,5,0,5,,tg
99999,ARDMULCHAN ME025-006----,21,Viewpoint,,-6.60988267,53.68251979,MEATH,0,5,0,5,,tg
99999,GORMANSTON ME028-020----,21,Viewpoint,,-6.21718579,53.63458934,MEATH,0,5,0,5,,tg
99999,GORMANSTON ME028-021----,21,Viewpoint,,-6.21342331,53.63523428,MEATH,0,5,0,5,,tg
99999,TARA ME031-033007-,21,Viewpoint,,-6.61160108,53.57959047,MEATH,0,5,0,5,,tg
99999,FOURKNOCKS ME033-028001-,21,Viewpoint,,-6.32646618,53.59657672,MEATH,0,5,0,5,,tg
99999,"MULLYASH,TAVANSKEA MO015-007----",21,Viewpoint,,-6.66940492,54.17420708,MONAGHAN,0,5,0,5,,tg
99999,SHEEGEERAGH RO028-134----,21,Viewpoint,,-8.23219634,53.75211612,ROSCOMMON,0,5,0,5,,tg
99999,SHEEGEERAGH RO028-135----,21,Viewpoint,,-8.23226784,53.75133417,ROSCOMMON,0,5,0,5,,tg
99999,SCREGG RO042-090----,21,Viewpoint,,-8.11122265,53.54778426,ROSCOMMON,0,5,0,5,,tg
99999,ARDNAGLASS UPPER SL005-091----,21,Viewpoint,,-8.48121413,54.37756941,SLIGO,0,5,0,5,,tg
99999,AUGHRIS SL012-017001-,21,Viewpoint,,-8.78316467,54.26841127,SLIGO,0,5,0,5,,tg
99999,KILRUSHEIGHTER SL012-126----,21,Viewpoint,,-8.7916783,54.26166124,SLIGO,0,5,0,5,,tg
99999,FARRANYHARPY SL012-127----,21,Viewpoint,,-8.74636412,54.24531755,SLIGO,0,5,0,5,,tg
99999,KNOCKNAREA SOUTH SL014-076001-,21,Viewpoint,,-8.57454221,54.25994415,SLIGO,0,5,0,5,,tg
99999,KNOCKNAREA SOUTH SL014-076003-,21,Viewpoint,,-8.57455617,54.25874,SLIGO,0,5,0,5,,tg
99999,KNOCKNAREA SOUTH SL014-076005-,21,Viewpoint,,-8.5744098,54.25814764,SLIGO,0,5,0,5,,tg
99999,KNOCKNAREA SOUTH SL014-076006-,21,Viewpoint,,-8.57488255,54.25792973,SLIGO,0,5,0,5,,tg
99999,KNOCKNAREA SOUTH SL014-076007-,21,Viewpoint,,-8.57429926,54.25792353,SLIGO,0,5,0,5,,tg
99999,KNOCKNAREA SOUTH SL014-076019-,21,Viewpoint,,-8.57190655,54.25581428,SLIGO,0,5,0,5,,tg
99999,GRANGE NORTH SL014-088----,21,Viewpoint,,-8.55364836,54.25729229,SLIGO,0,5,0,5,,tg
99999,BARNASRAHY SL014-096002-,21,Viewpoint,,-8.52296486,54.2654445,SLIGO,0,5,0,5,,tg
99999,TOBERNAVEEN SL014-110----,21,Viewpoint,,-8.51386767,54.25848378,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-112----,21,Viewpoint,,-8.51537502,54.25628484,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-115----,21,Viewpoint,,-8.51487096,54.25524466,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209001-,21,Viewpoint,,-8.51997511,54.25108934,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209002-,21,Viewpoint,,-8.51977688,54.25118904,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209004-,21,Viewpoint,,-8.5191964,54.25139821,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209006-,21,Viewpoint,,-8.51858747,54.25178722,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209007-,21,Viewpoint,,-8.51726465,54.25276335,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209008-,21,Viewpoint,,-8.51633432,54.25199457,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209016-,21,Viewpoint,,-8.52005158,54.24984899,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209017-,21,Viewpoint,,-8.52073684,54.24943269,SLIGO,0,5,0,5,,tg
99999,CARROWMORE SL014-209018-,21,Viewpoint,,-8.52033655,54.24932659,SLIGO,0,5,0,5,,tg
